ID,hora_reg_norm,dia_reg,medio_contacto_grupo,tipo_mail_rango,ingreso_propio_norm,edad_norm,sexo,nivel_estudios,Estado,destino,act_eco,ing_cuota_pf_rv,cuota_mensual_fijos,cuota_mensual_revolventes,hist_suf_pf_norm,hist_suf_rv_norm,bc_score_norm,icc_norm,monto_prom_norm,porc_deuda_12m_norm,porc_fijos_norm,porc_saldo_fijos_norm,pagos_suf_limite_norm,pagos_suf_limite_RV_norm,creditos_general_norm,creditos_general_ab_norm,creditos_recientes_norm,Saldo_Vencido_act_norm,Saldo_Actual_PF_norm,Saldo_Actual_RV_norm,porc_deuda_rev_norm,pagos_suf_limite_PF_norm,porc_mop_1_norm,ind_mop_4_9_norm,mop_max_act_norm,BANCO_HIP,BANCO_RV,BANCO_PF,AUTO,TIENDA_COMERCIAL,FINANCIERA,MICROFINANCIERA,COMUNICACIONES,con_2m_norm,BURO_DE_CREDITO_C,BANCO_C,SIC_C,FINANCIERA_C,CONSUMIDOR_FINAL_C,MICROFINANCIERA_C,TIENDA_COMERCIAL_C,BANCOS_C
70929,0.695652173913043,5,El Mejor Trato,hot,1.0,0.0106007067137809,Hombre,Licenciatura,CDMX,2,Comerciante,0.262866666666667,11804,3968,0.1,0.556,0.804953560371517,1.0,0.55,0.310642897086426,0.272727272727273,0.874177191505286,0.316,0.22,0.12,0.25,0.833333333333333,0.0,0.934408,0.224153333333333,0.109257815038669,0.12,1.0,0.0,0.111111111111111,0.0,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0,0.0,0.272727272727273,0.0666666666666667,0.333333333333333,0.333333333333333,0.0,0.0,0.0,0.0,0.111111111111111,0.0
1090207,0.6521739,6,Otro_medio,gma,0.2857143,0.01060071,Hombre,Secundaria,Oaxaca,1,Empleado,0.1961,3673,249,0.344,0.444,0.7987616,0.875,0.0,0.2496869,0.6666667,1.0,0.504,0.298,0.24,0.15,0.75,0.0,0.0,0.0,0.0,0.2575,0.8154982,0.0,0.1111111,0.06666667,0.06666667,0.06666667,0.0,0.6,0.0,0.0,0.1333333,0.2666667,0.2857143,0.6,0.02857143,0.0,0.0,0.0,0.0,0.02857143
188920,0.608695652173913,2,Otro_medio,gma,0.214285714285714,0.00504795557799091,Mujer,Licenciatura,Estado de México,3,Empleado,0.20325,2650,602,0.256,0.352,0.715170278637771,0.5,0.008885,1.0,0.6,0.031830684780128,0.466,0.244,0.26,0.2,1.0,0.0,0.0106,0.537353333333333,0.419687068808414,0.2775,0.636963696369637,0.0,0.111111111111111,0.0,0.266666666666667,0.2,0.0,0.0,0.4,0.0,0.133333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203101,0.521739130434783,6,El Mejor Trato,gma,0.285714285714286,0.00656234225138819,Hombre,Licenciatura,Estado de México,6,Empleado,0.21515,4303,0,0.1,0.12,0.721362229102167,0.625,0.26167,0.398425067746097,0.857142857142857,1.0,0.108,0.032,0.14,0.1,0.571428571428571,0.0,0.276488,0.0,0.0,0.095,0.930555555555555,0.0,0.111111111111111,0.0,0.142857142857143,0.142857142857143,0.0,0.0,0.142857142857143,0.571428571428571,0.0,0.133333333333333,0.2,0.2,0.133333333333333,0.0666666666666667,0.0,0.266666666666667,0.0666666666666667,0.0
762127,0.3913043,4,Otro_medio,gma,0.2678571,0.01211509,Hombre,Licenciatura,Estado de México,1,Comerciante,0.2987895,3834,1843,0.532,0.44,0.7213622,0.75,0.2283333,0.3132485,0.5714286,0.7904924,0.466,0.12,0.12,0.2,0.8,0.0,0.677648,0.2993333,0.6262204,0.4325,0.9404762,0.0,0.1111111,0.1428571,0.1428571,0.4285714,0.0,0.1428571,0.0,0.0,0.0,0.2666667,0.2692308,0.2692308,0.07692308,0.1538462,0.07692308,0.0,0.03846154,0.0
1253185,0.6521739,5,Campana GL,hot,0.1571429,0.005047956,Hombre,Licenciatura,CDMX,7,Comerciante,0.0521875,0,668,0.048,0.124,0.6563467,0.75,0.1585,0.2496869,0.1666667,0.0,0.094,0.08,0.1,0.1,0.4,0.0,0.0,0.10218,0.2417508,0.0175,0.5977011,0.0,0.1111111,0.0,0.6666667,0.1666667,0.0,0.0,0.0,0.0,0.1666667,0.2,0.3,0.4,0.05,0.0,0.0,0.05,0.0,0.0
881390,0.6521739,2,Facebook,gma,0.1071429,0.01009591,Mujer,Licenciatura,Estado de México,6,Empleado,0.4204,4204,0,0.488,0.0,0.6965944,0.75,0.01826333,0.3039557,1.0,1.0,0.14,0.0,0.14,0.2,0.6666667,0.0,0.202264,0.0,0.0,0.175,0.8039216,0.0,0.1111111,0.0,0.0,0.8571429,0.0,0.1428571,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0
410982,0.739130434782609,4,Otro_medio,hot,0.0678571428571429,0.0161534578495709,Mujer,Bachillerato,CDMX,6,Empleado,0.548461538461538,4098,180,0.852,0.06,0.708978328173375,0.75,0.0625,0.58996492538396,0.846153846153846,0.82034271835927,0.494,0.05,0.26,0.25,0.714285714285714,0.0,0.092004,0.05326,0.783235294117647,0.555,0.983896940418679,0.0,0.111111111111111,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.461538461538462,0.0,0.0,0.266666666666667,0.354838709677419,0.419354838709677,0.0967741935483871,0.032258064516129,0.0645161290322581,0.0,0.0,0.0
495805,0.956521739130435,4,YoTePresto,gma,0.125,0.01110550227158,Hombre,Bachillerato,Jalisco,6,Empleado,0.980454545454545,7351,3434,0.684,0.856,0.572755417956656,0.5,0.175,0.152165065561577,0.565217391304348,0.717577701677576,1.0,1.0,0.42,0.3,0.857142857142857,0.0,0.331076,0.217173333333333,0.430534996828082,0.9225,0.957912457912458,0.3,0.111111111111111,0.0434782608695652,0.217391304347826,0.0869565217391304,0.130434782608696,0.347826086956522,0.0,0.0434782608695652,0.0869565217391304,0.266666666666667,0.435897435897436,0.179487179487179,0.0256410256410256,0.230769230769231,0.0,0.0256410256410256,0.0,0.0
1620449,0.826087,6,Campana GL,gma,0.07142857,0.002523978,Hombre,Secundaria,Estado de México,6,Empleado,0.06925,0,554,0.0,0.024,0.5944272,0.75,0.025,0.2496869,0.0,0.0,0.012,0.012,0.02,0.05,1.0,0.0,0.0,0.03552667,1.0,0.0,0.7435897,0.0,0.1111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.2857143,0.1428571,0.1428571,0.1428571,0.0,0.1428571,0.0,0.0
1017663,0.9130435,4,Campana GL,gma,0.0,0.003028773,Mujer,Bachillerato,Queretaro de Arteaga,6,Empleado,0.127,0,508,0.0,0.116,0.7337461,0.875,0.0,0.2496869,0.0,0.0,0.124,0.124,0.08,0.1,0.5,0.0,0.0,0.34594,0.7237238,0.0,0.9259259,0.0,0.1111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667,0.07142857,0.7142857,0.0,0.1428571,0.0,0.0,0.0,0.0
326560,1.0,4,Otro_medio,hot,0.192857142857143,0.0106007067137809,Hombre,Bachillerato,Estado de México,5,Empleado,0.469054054054054,6942,0,0.376,0.0,0.647058823529412,0.5,0.157727857142857,0.231396062647539,1.0,1.0,0.578,0.0,1.0,0.25,0.241379310344828,0.0,0.343048,0.0,0.0,0.7225,0.982456140350877,0.0,0.111111111111111,0.0,0.0,0.929824561403509,0.0,0.0,0.0701754385964912,0.0,0.0,0.266666666666667,0.25,0.0,0.25,0.0833333333333333,0.0,0.166666666666667,0.0,0.0
342001,0.565217391304348,3,El Mejor Trato,gma,0.25,0.0106007067137809,Hombre,Bachillerato,Veracruz Llave,3,Comerciante,0.025,0,450,0.656,0.452,0.773993808049536,0.75,0.040375,1.0,0.363636363636364,0.0,0.402,0.33,0.2,0.3,1.0,0.0,0.0,0.03986,0.375966798717223,0.09,0.979674796747967,0.0,0.111111111111111,0.0,0.272727272727273,0.0909090909090909,0.0,0.545454545454545,0.0,0.0,0.0,0.0,0.3,0.5,0.05,0.0,0.0,0.0,0.05,0.0
785899,0.7391304,7,YoTePresto,out,0.07142857,0.004038364,Hombre,Licenciatura,Hidalgo,11,Empleado,0.235125,0,1881,0.14,0.12,0.6965944,0.625,0.065561,0.2496869,0.5555556,0.0,0.336,0.18,0.3,0.15,0.2,0.0,0.0,0.04408667,0.2046861,0.195,0.525593,1.0,0.1111111,0.0,0.2777778,0.0,0.0,0.2777778,0.2777778,0.0,0.1111111,0.8,0.2181818,0.2181818,0.1636364,0.1454545,0.1454545,0.0,0.0,0.01818182
